step,tokens,elapsed_s,unix_ts,loss,grad_norm,lr_mult,tok_s
6480,1698693120,42290.7,1786150037.7,3.0055,0.104,1.0000,40727
6500,1703936000,42419.6,1786150166.6,3.0505,0.097,1.0000,40674
6520,1709178880,42566.0,1786150313.0,3.0332,0.097,1.0000,35814
6540,1714421760,42694.9,1786150441.9,2.9966,0.104,1.0000,40682
6560,1719664640,42823.8,1786150570.8,2.9903,0.095,1.0000,40673
6580,1724907520,42952.7,1786150699.7,2.9626,0.105,1.0000,40679
6600,1730150400,43081.7,1786150828.6,3.0651,0.105,1.0000,40652
6620,1735393280,43210.6,1786150957.6,2.9508,0.096,1.0000,40659
6640,1740636160,43339.5,1786151086.5,3.0457,0.102,1.0000,40681
6660,1745879040,43468.3,1786151215.3,2.9496,0.098,1.0000,40685
6680,1751121920,43597.3,1786151344.3,3.0278,0.103,1.0000,40660
6700,1756364800,43726.2,1786151473.2,2.9829,0.103,1.0000,40665
6720,1761607680,43855.1,1786151602.1,2.9749,0.106,1.0000,40688
6740,1766850560,43983.9,1786151730.9,2.9353,0.098,1.0000,40688
6760,1772093440,44128.8,1786151875.8,3.0117,0.096,1.0000,36186
6780,1777336320,44257.8,1786152004.8,2.9307,0.098,1.0000,40652
6800,1782579200,44386.8,1786152133.8,2.9616,0.101,1.0000,40646
6820,1787822080,44515.8,1786152262.8,3.0093,0.099,1.0000,40633
6840,1793064960,44645.0,1786152391.9,2.9753,0.097,1.0000,40595
6860,1798307840,44774.1,1786152521.1,3.0079,0.101,1.0000,40595
6880,1803550720,44903.1,1786152650.1,2.9977,0.100,1.0000,40631
6900,1808793600,45032.2,1786152779.2,2.9749,0.095,1.0000,40617
6920,1814036480,45161.2,1786152908.1,2.9799,0.100,1.0000,40662
6940,1819279360,45290.2,1786153037.2,2.9876,0.093,1.0000,40625
6960,1824522240,45419.3,1786153166.2,2.9839,0.098,1.0000,40629
6980,1829765120,45548.3,1786153295.3,3.0237,0.098,1.0000,40637
7000,1835008000,45677.5,1786153424.5,3.0462,0.106,1.0000,40562
7020,1840250880,45823.0,1786153569.9,2.9477,0.098,1.0000,36054
7040,1845493760,45951.8,1786153698.8,2.9861,0.103,1.0000,40699
7060,1850736640,46080.6,1786153827.6,3.0190,0.096,1.0000,40697
7080,1855979520,46209.5,1786153956.5,3.0157,0.099,1.0000,40671
7100,1861222400,46338.4,1786154085.4,3.0049,0.099,1.0000,40674
7120,1866465280,46467.4,1786154214.4,2.9154,0.099,1.0000,40640
7140,1871708160,46596.4,1786154343.4,2.9674,0.100,1.0000,40633
7160,1876951040,46725.5,1786154472.5,2.9251,0.095,1.0000,40633
7180,1882193920,46854.5,1786154601.5,2.9170,0.093,1.0000,40626
7200,1887436800,46983.6,1786154730.6,2.9443,0.094,1.0000,40623
7220,1892679680,47112.6,1786154859.6,2.9684,0.094,1.0000,40631
7240,1897922560,47241.7,1786154988.7,2.9502,0.096,1.0000,40605
7260,1903165440,47388.0,1786155135.0,3.0071,0.096,1.0000,35850
7280,1908408320,47517.0,1786155264.0,3.0090,0.097,1.0000,40644
7300,1913651200,47646.0,1786155393.0,2.9726,0.098,1.0000,40625
7320,1918894080,47775.1,1786155522.1,3.0262,0.096,1.0000,40620
7340,1924136960,47904.2,1786155651.1,3.0352,0.095,1.0000,40625
7360,1929379840,48033.1,1786155780.1,2.9868,0.095,1.0000,40667
7380,1934622720,48161.9,1786155908.9,2.9507,0.096,1.0000,40691
7400,1939865600,48291.0,1786156038.0,2.9590,0.095,1.0000,40617
7420,1945108480,48420.0,1786156167.0,2.9688,0.097,1.0000,40648
7440,1950351360,48548.9,1786156295.9,3.0179,0.094,1.0000,40678
7460,1955594240,48677.8,1786156424.8,2.9624,0.097,1.0000,40661
7480,1960837120,48807.1,1786156554.0,3.0655,0.097,1.0000,40572
7500,1966080000,48936.0,1786156683.0,2.9461,0.095,1.0000,40652
7520,1971322880,49082.8,1786156829.8,2.9051,0.093,1.0000,35715
7540,1976565760,49211.8,1786156958.7,2.9423,0.092,1.0000,40660
